시점,근로시간,지역별
2022.11,154.2,경북
2022.12,153.9,경북
2023.01,153.6,경북
2011.01,2090.4,광주
2011.02,2079.9,광주
2011.03,2069.4,광주
2011.04,2058.9,광주
2011.05,2048.4,광주
2011.06,2037.9,광주
2011.07,2027.4,광주
2011.08,2016.9,광주
2011.09,2006.4,광주
2011.10,1995.9,광주
2011.11,1985.4,광주
2011.12,1974.9,광주
2012.01,1964.4,광주
2012.02,1974.2,광주
2012.03,1984.0,광주
2012.04,1993.8,광주
2012.05,2003.6,광주
2012.06,2013.4,광주
2012.07,2023.2,광주
2012.08,2033.0,광주
2012.09,2042.8,광주
2012.10,2052.6,광주
2012.11,2062.4,광주
2012.12,2072.2,광주
2013.01,2082.0,광주
2013.02,2082.6,광주
2013.03,2083.2,광주
2013.04,2083.8,광주
2013.05,2084.4,광주
2013.06,2085.0,광주
2013.07,2085.6,광주
2013.08,2086.2,광주
2013.09,2086.8,광주
2013.10,2087.4,광주
2013.11,2088.0,광주
2013.12,2088.6,광주
2014.01,2089.2,광주
2014.02,2087.5,광주
2014.03,2085.8,광주
2014.04,2084.1,광주
2014.05,2082.4,광주
2014.06,2080.7,광주
2014.07,2079.0,광주
2014.08,2077.3,광주
2014.09,2075.6,광주
2014.10,2073.9,광주
2014.11,2072.2,광주
2014.12,2070.5,광주
2015.01,2068.8,광주
2015.02,2058.1,광주
2015.03,2047.4,광주
2015.04,2036.7,광주
2015.05,2026.0,광주
2015.06,2015.3,광주
2015.07,2004.6,광주
2015.08,1993.9,광주
2015.09,1983.2,광주
2015.10,1972.5,광주
2015.11,1961.8,광주
2015.12,1951.1,광주
2016.01,1940.4,광주
2016.02,1940.6,광주
2016.03,1940.8,광주
2016.04,1941.0,광주
2016.05,1941.2,광주
2016.06,1941.4,광주
2016.07,1941.6,광주
2016.08,1941.8,광주
2016.09,1942.0,광주
2016.10,1942.2,광주
2016.11,1942.4,광주
2016.12,1942.6,광주
2017.01,1942.8,광주
2017.02,1946.5,광주
2017.03,1950.2,광주
