"시점","시도별",계,남자,여자
"2016","인천광역시",64.9,76.7,53.5
"2016","광주광역시",59.9,71.0,49.4
"2016","대전광역시",61.7,71.5,52.3
"2016","울산광역시",61.3,76.6,45.3
"2016","경기도",64.2,76.1,52.4
"2016","강원특별자치도",59.9,68.0,52.1
"2016","충청북도",63.7,72.7,54.7
"2016","충청남도",63.7,76.4,50.9
"2016","전북특별자치도",61.2,71.8,51.0
"2016","전라남도",64.6,74.3,55.3
"2016","경상북도",64.4,76.3,52.8
"2016","경상남도",62.7,75.0,50.4
"2016","제주도",70.8,77.9,63.8
"2017","서울특별시",63.1,72.9,54.0
"2017","부산광역시",59.0,69.8,49.0
"2017","대구광역시",61.2,70.6,52.4
"2017","인천광역시",64.7,76.4,53.3
"2017","광주광역시",60.8,70.5,51.6
"2017","대전광역시",61.0,71.3,51.1
"2017","울산광역시",61.9,75.9,47.4
"2017","세종특별자치시",62.7,75.2,50.3
"2017","경기도",64.6,76.6,52.8
"2017","강원특별자치도",62.6,70.7,54.9
"2017","충청북도",64.0,73.3,54.7
"2017","충청남도",64.1,76.3,51.8
"2017","전북특별자치도",60.1,70.8,49.9
"2017","전라남도",64.1,73.3,55.3
"2017","경상북도",64.2,75.8,52.9
"2017","경상남도",62.7,75.0,50.5
"2017","제주도",72.3,78.6,66.1
"2018","서울특별시",62.6,71.9,54.1
"2018","부산광역시",58.1,68.4,48.6
"2018","대구광역시",60.9,70.0,52.3
"2018","인천광역시",65.7,76.3,55.4
"2018","광주광역시",61.7,71.2,52.8
"2018","대전광역시",61.3,70.9,52.0
"2018","울산광역시",61.8,74.9,48.3
"2018","세종특별자치시",63.2,75.4,51.3
"2018","경기도",64.4,76.2,52.7
"2018","강원특별자치도",62.5,70.6,54.7
"2018","충청북도",64.9,75.6,54.2
"2018","충청남도",65.6,76.5,54.4
"2018","전북특별자치도",59.9,70.7,49.6
"2018","전라남도",64.2,73.5,55.2
"2018","경상북도",64.2,75.6,53.1
"2018","경상남도",63.3,75.5,51.1
"2018","제주도",69.8,77.0,62.7
"2019","서울특별시",62.7,71.9,54.4
"2019","부산광역시",58.8,67.7,50.6
"2019","대구광역시",60.2,70.3,50.6
"2019","인천광역시",65.4,75.2,55.7
"2019","광주광역시",61.5,71.0,52.6
"2019","대전광역시",62.4,72.6,52.5
"2019","울산광역시",61.7,74.2,48.6
"2019","세종특별자치시",64.3,75.5,53.1
"2019","경기도",64.3,75.5,53.2
"2019","강원특별자치도",64.6,72.4,57.1
"2019","충청북도",64.9,74.7,55.0
"2019","충청남도",65.6,76.1,54.7
"2019","전북특별자치도",61.0,70.8,51.5
"2019","전라남도",65.1,74.2,56.2
"2019","경상북도",64.2,75.5,53.0
"2019","경상남도",63.7,74.9,52.5
"2019","제주도",69.9,77.0,62.9
"2020","서울특별시",62.1,70.8,54.3
"2020","부산광역시",58.1,67.2,49.6
"2020","대구광역시",58.9,69.8,48.7
"2020","인천광역시",64.2,74.1,54.6
"2020","광주광역시",61.0,69.7,52.8
"2020","대전광역시",63.4,73.1,54.0
"2020","울산광역시",60.7,74.0,46.8
"2020","세종특별자치시",64.5,75.8,53.2
"2020","경기도",62.8,74.3,51.3
"2020","강원특별자치도",63.3,70.9,55.9
"2020","충청북도",65.3,74.5,55.9
"2020","충청남도",64.6,74.9,54.1
"2020","전북특별자치도",61.5,70.9,52.3
"2020","전라남도",65.4,74.4,56.5
"2020","경상북도",63.7,74.9,52.5
"2020","경상남도",63.1,73.8,52.4
"2020","제주도",68.8,74.2,63.6
"2021","서울특별시",62.3,70.8,54.5
"2021","부산광역시",58.2,67.5,49.5
