시점,인구밀도,지역별
2018.09,2755.77,대구
2018.10,2754.4,대구
2018.11,2753.03,대구
2018.12,2751.67,대구
2019.01,2750.3,대구
2019.02,2748.49,대구
2019.03,2746.68,대구
2019.04,2744.88,대구
2019.05,2743.07,대구
2019.06,2741.26,대구
2019.07,2739.45,대구
2019.08,2737.64,대구
2019.09,2735.83,대구
2019.10,2734.03,대구
2019.11,2732.22,대구
2019.12,2730.41,대구
2020.01,2728.6,대구
2020.02,2726.4,대구
2020.03,2724.2,대구
2020.04,2722.0,대구
2020.05,2719.8,대구
2020.06,2717.6,대구
2020.07,2715.4,대구
2020.08,2713.2,대구
2020.09,2711.0,대구
2020.10,2708.8,대구
2020.11,2706.6,대구
2020.12,2704.4,대구
2021.01,2702.2,대구
2021.02,2699.82,대구
2021.03,2697.45,대구
2021.04,2695.07,대구
2021.05,2692.7,대구
2021.06,2690.32,대구
2021.07,2687.95,대구
2021.08,2685.57,대구
2021.09,2683.2,대구
2021.10,2680.82,대구
2021.11,2678.45,대구
2021.12,2676.07,대구
2022.01,2673.7,대구
2022.02,2583.12,대구
2022.03,2492.53,대구
2022.04,2401.95,대구
2022.05,2311.37,대구
2022.06,2220.78,대구
2022.07,2130.2,대구
2022.08,2039.62,대구
2022.09,1949.03,대구
2022.10,1858.45,대구
2022.11,1767.87,대구
2022.12,1677.28,대구
2023.01,1586.7,대구
2015.01,2852.3,대전
2015.02,2851.85,대전
2015.03,2851.4,대전
2015.04,2850.95,대전
2015.05,2850.5,대전
2015.06,2850.05,대전
2015.07,2849.6,대전
2015.08,2849.15,대전
2015.09,2848.7,대전
2015.10,2848.25,대전
2015.11,2847.8,대전
2015.12,2847.35,대전
2016.01,2846.9,대전
2016.02,2845.37,대전
2016.03,2843.83,대전
2016.04,2842.3,대전
2016.05,2840.77,대전
2016.06,2839.23,대전
2016.07,2837.7,대전
2016.08,2836.17,대전
2016.09,2834.63,대전
2016.10,2833.10,대전
2016.11,2831.57,대전
2016.12,2830.03,대전
2017.01,2828.5,대전
2017.02,2826.21,대전
2017.03,2823.92,대전
2017.04,2821.62,대전
2017.05,2819.33,대전
2017.06,2817.04,대전
2017.07,2814.75,대전
2017.08,2812.46,대전
2017.09,2810.17,대전
2017.10,2807.88,대전
2017.11,2805.58,대전
2017.12,2803.29,대전
2018.01,2801.0,대전
2018.02,2799.04,대전
2018.03,2797.08,대전
2018.04,2795.12,대전
2018.05,2793.17,대전
2018.06,2791.21,대전
2018.07,2789.25,대전
2018.08,2787.29,대전
2018.09,2785.33,대전
2018.10,2783.38,대전
2018.11,2781.42,대전
2018.12,2779.46,대전
2019.01,2777.5,대전
2019.02,2775.88,대전
2019.03,2774.27,대전
2019.04,2772.65,대전
2019.05,2771.03,대전
2019.06,2769.42,대전
2019.07,2767.8,대전
2019.08,2766.18,대전
2019.09,2764.57,대전
2019.10,2762.95,대전
2019.11,2761.33,대전
2019.12,2759.72,대전
2020.01,2758.10,대전
2020.02,2756.82,대전
2020.03,2755.55,대전
2020.04,2754.28,대전
2020.05,2753.0,대전
2020.06,2751.72,대전
2020.07,2750.45,대전
2020.08,2749.18,대전
2020.09,2747.9,대전
2020.10,2746.62,대전
2020.11,2745.35,대전
2020.12,2744.08,대전
2021.01,2742.8,대전
2021.02,2741.79,대전
2021.03,2740.78,대전
2021.04,2739.78,대전
2021.05,2738.77,대전
2021.06,2737.76,대전
2021.07,2736.75,대전
2021.08,2735.74,대전
2021.09,2734.73,대전
2021.10,2733.72,대전
2021.11,2732.72,대전
2021.12,2731.71,대전
2022.01,2730.7,대전
2022.02,2730.14,대전
2022.03,2729.58,대전
2022.04,2729.02,대전
2022.05,2728.47,대전
2022.06,2727.91,대전
2022.07,2727.35,대전
2022.08,2726.79,대전
2022.09,2726.23,대전
2022.10,2725.68,대전
2022.11,2725.12,대전
2022.12,2724.56,대전
2023.01,2724.0,대전
2015.01,4479.9,부산
2015.02,4478.97,부산
2015.03,4478.05,부산
2015.04,4477.12,부산
2015.05,4476.2,부산
2015.06,4475.27,부산
2015.07,4474.35,부산
2015.08,4473.43,부산
2015.09,4472.5,부산
2015.10,4471.57,부산
2015.11,4470.65,부산
2015.12,4469.73,부산
2016.01,4468.8,부산
2016.02,4466.18,부산
2016.03,4463.57,부산
2016.04,4460.95,부산
2016.05,4458.33,부산
2016.06,4455.72,부산
2016.07,4453.10,부산
2016.08,4450.48,부산
2016.09,4447.87,부산
2016.10,4445.25,부산
2016.11,4442.63,부산
2016.12,4440.02,부산
2017.01,4437.4,부산
2017.02,4435.10,부산
2017.03,4432.8,부산
2017.04,4430.5,부산
2017.05,4428.2,부산
2017.06,4425.9,부산
2017.07,4423.6,부산
2017.08,4421.3,부산
2017.09,4419.0,부산
2017.10,4416.7,부산
2017.11,4414.4,부산
2017.12,4412.10,부산
2018.01,4409.8,부산
2018.02,4407.29,부산
2018.03,4404.78,부산
2018.04,4402.27,부산
2018.05,4399.77,부산
2018.06,4397.26,부산
2018.07,4394.75,부산
2018.08,4392.24,부산
2018.09,4389.73,부산
2018.10,4387.23,부산
2018.11,4384.72,부산
2018.12,4382.21,부산
2019.01,4379.7,부산
2019.02,4377.13,부산
2019.03,4374.57,부산
2019.04,4372.0,부산
2019.05,4369.43,부산
2019.06,4366.87,부산
2019.07,4364.3,부산
2019.08,4361.73,부산
2019.09,4359.17,부산
2019.10,4356.6,부산
2019.11,4354.03,부산
2019.12,4351.47,부산
2020.01,4348.9,부산
2020.02,4346.19,부산
2020.03,4343.48,부산
2020.04,4340.77,부산
2020.05,4338.07,부산
2020.06,4335.36,부산
2020.07,4332.65,부산
2020.08,4329.94,부산
2020.09,4327.23,부산
2020.10,4324.52,부산
2020.11,4321.82,부산
2020.12,4319.11,부산
2021.01,4316.4,부산
2021.02,4312.77,부산
2021.03,4309.13,부산
2021.04,4305.5,부산
2021.05,4301.87,부산
2021.06,4298.23,부산
2021.07,4294.6,부산
2021.08,4290.97,부산
2021.09,4287.33,부산
2021.10,4283.7,부산
2021.11,4280.07,부산
2021.12,4276.43,부산
2022.01,4272.8,부산
2022.02,4271.07,부산
2022.03,4269.33,부산
2022.04,4267.6,부산
2022.05,4265.87,부산
2022.06,4264.13,부산
2022.07,4262.4,부산
2022.08,4260.67,부산
2022.09,4258.93,부산
2022.10,4257.2,부산
2022.11,4255.47,부산
2022.12,4253.73,부산
2023.01,4252.0,부산
2015.01,16364.0,서울
2015.02,16350.52,서울
2015.03,16337.03,서울
2015.04,16323.55,서울
2015.05,16310.07,서울
2015.06,16296.58,서울
2015.07,16283.10,서울
2015.08,16269.62,서울
2015.09,16256.13,서울
2015.10,16242.65,서울
2015.11,16229.17,서울
2015.12,16215.68,서울
2016.01,16202.2,서울
2016.02,16193.33,서울
2016.03,16184.47,서울
2016.04,16175.6,서울
2016.05,16166.73,서울
2016.06,16157.87,서울
2016.07,16149.0,서울
2016.08,16140.13,서울
2016.09,16131.27,서울
2016.10,16122.4,서울
2016.11,16113.53,서울
2016.12,16104.67,서울
2017.01,16095.8,서울
2017.02,16086.46,서울
2017.03,16077.12,서울
2017.04,16067.77,서울
2017.05,16058.43,서울
2017.06,16049.09,서울
2017.07,16039.75,서울
2017.08,16030.41,서울
2017.09,16021.07,서울
2017.10,16011.73,서울
2017.11,16002.38,서울
2017.12,15993.04,서울
2018.01,15983.7,서울
2018.02,15978.97,서울
2018.03,15974.23,서울
2018.04,15969.5,서울
2018.05,15964.77,서울
2018.06,15960.03,서울
2018.07,15955.3,서울
2018.08,15950.57,서울
2018.09,15945.83,서울
2018.10,15941.10,서울
2018.11,15936.37,서울
2018.12,15931.63,서울
2019.01,15926.9,서울
2019.02,15919.57,서울
2019.03,15912.25,서울
2019.04,15904.92,서울
2019.05,15897.6,서울
2019.06,15890.27,서울
2019.07,15882.95,서울
2019.08,15875.62,서울
2019.09,15868.3,서울
2019.10,15860.98,서울
2019.11,15853.65,서울
2019.12,15846.33,서울
2020.01,15839.0,서울
2020.02,15823.26,서울
2020.03,15807.52,서울
2020.04,15791.77,서울
2020.05,15776.03,서울
2020.06,15760.29,서울
2020.07,15744.55,서울
2020.08,15728.81,서울
2020.09,15713.07,서울
2020.10,15697.33,서울
2020.11,15681.58,서울
2020.12,15665.84,서울
2021.01,15650.10,서울
2021.02,15642.65,서울
2021.03,15635.2,서울
2021.04,15627.75,서울
2021.05,15620.3,서울
2021.06,15612.85,서울
2021.07,15605.4,서울
2021.08,15597.95,서울
2021.09,15590.5,서울
