시점,지역별,저출산율,고용률,학생수,사설학원수,사교육참여율,수술인원,인터넷이용률,근로시간,어린이집,이동인구수,인구밀집도,주택유형별,주택규모별,ratio
2001.08,경북,1.30,,,,,,,,,,,,,
2001.08,광주,1.33,,,,,,,,,,,,,
2001.08,대구,1.13,,,,,,,,,,,,,
2001.08,대전,1.26,,,,,,,,,,,,,
2001.08,부산,1.03,,,,,,,,,,,,,
2001.08,서울,1.05,,,,,,,,,,,,,
2001.08,세종,0.00,,,,,,,,,,,,,
2001.08,울산,1.32,,,,,,,,,,,,,
2001.08,인천,1.24,,,,,,,,,,,,,
2001.08,전남,1.46,,,,,,,,,,,,,
2001.08,전북,1.34,,,,,,,,,,,,,
2001.08,제주,1.46,,,,,,,,,,,,,
2001.08,충남,1.43,,,,,,,,,,,,,
2001.08,충북,1.35,,,,,,,,,,,,,
2001.09,강원,1.35,,,,,,,,,,,,,
2001.09,경기,1.35,,,,,,,,,,,,,
2001.09,경남,1.32,,,,,,,,,,,,,
2001.09,경북,1.29,,,,,,,,,,,,,
2001.09,광주,1.32,,,,,,,,,,,,,
2001.09,대구,1.12,,,,,,,,,,,,,
2001.09,대전,1.25,,,,,,,,,,,,,
2001.09,부산,1.02,,,,,,,,,,,,,
2001.09,서울,1.04,,,,,,,,,,,,,
2001.09,세종,0.00,,,,,,,,,,,,,
2001.09,울산,1.30,,,,,,,,,,,,,
2001.09,인천,1.23,,,,,,,,,,,,,
2001.09,전남,1.45,,,,,,,,,,,,,
2001.09,전북,1.33,,,,,,,,,,,,,
2001.09,제주,1.45,,,,,,,,,,,,,
2001.09,충남,1.42,,,,,,,,,,,,,
2001.09,충북,1.34,,,,,,,,,,,,,
2001.10,강원,1.34,,,,,,,,,,,,,
2001.10,경기,1.34,,,,,,,,,,,,,
2001.10,경남,1.31,,,,,,,,,,,,,
2001.10,경북,1.27,,,,,,,,,,,,,
2001.10,광주,1.30,,,,,,,,,,,,,
2001.10,대구,1.11,,,,,,,,,,,,,
2001.10,대전,1.24,,,,,,,,,,,,,
2001.10,부산,1.01,,,,,,,,,,,,,
2001.10,서울,1.03,,,,,,,,,,,,,
2001.10,세종,0.00,,,,,,,,,,,,,
2001.10,울산,1.29,,,,,,,,,,,,,
2001.10,인천,1.22,,,,,,,,,,,,,
2001.10,전남,1.43,,,,,,,,,,,,,
2001.10,전북,1.31,,,,,,,,,,,,,
2001.10,제주,1.44,,,,,,,,,,,,,
2001.10,충남,1.40,,,,,,,,,,,,,
2001.10,충북,1.33,,,,,,,,,,,,,
2001.11,강원,1.33,,,,,,,,,,,,,
2001.11,경기,1.33,,,,,,,,,,,,,
2001.11,경남,1.30,,,,,,,,,,,,,
2001.11,경북,1.26,,,,,,,,,,,,,
2001.11,광주,1.29,,,,,,,,,,,,,
2001.11,대구,1.10,,,,,,,,,,,,,
2001.11,대전,1.23,,,,,,,,,,,,,
2001.11,부산,1.00,,,,,,,,,,,,,
2001.11,서울,1.02,,,,,,,,,,,,,
2001.11,세종,0.00,,,,,,,,,,,,,
2001.11,울산,1.27,,,,,,,,,,,,,
2001.11,인천,1.21,,,,,,,,,,,,,
2001.11,전남,1.42,,,,,,,,,,,,,
2001.11,전북,1.30,,,,,,,,,,,,,
2001.11,제주,1.42,,,,,,,,,,,,,
2001.11,충남,1.39,,,,,,,,,,,,,
2001.11,충북,1.32,,,,,,,,,,,,,
2001.12,강원,1.32,,,,,,,,,,,,,
2001.12,경기,1.32,,,,,,,,,,,,,
2001.12,경남,1.28,,,,,,,,,,,,,
2001.12,경북,1.25,,,,,,,,,,,,,
2001.12,광주,1.28,,,,,,,,,,,,,
2001.12,대구,1.09,,,,,,,,,,,,,
2001.12,대전,1.22,,,,,,,,,,,,,
2001.12,부산,0.99,,,,,,,,,,,,,
2001.12,서울,1.01,,,,,,,,,,,,,
2001.12,세종,0.00,,,,,,,,,,,,,
2001.12,울산,1.26,,,,,,,,,,,,,
2001.12,인천,1.20,,,,,,,,,,,,,
2001.12,전남,1.41,,,,,,,,,,,,,
2001.12,전북,1.29,,,,,,,,,,,,,
2001.12,제주,1.41,,,,,,,,,,,,,
2001.12,충남,1.38,,,,,,,,,,,,,
2001.12,충북,1.30,,,,,,,,,,,,,
2002.01,강원,1.32,,,,,,,,,,,,,
2002.01,경기,1.30,,,,,,,,,,,,,
2002.01,경남,1.27,,,,,,,,,,,,,
2002.01,경북,1.23,,,,,,,,,,,,,
2002.01,광주,1.26,,,,,,,,,,,,,
2002.01,대구,1.08,,,,,,,,,,,,,
2002.01,대전,1.21,,,,,,,,,,,,,
2002.01,부산,0.97,,,,,,,,,,,,,
2002.01,서울,1.01,,,,,,,,,,,,,
2002.01,세종,0.00,,,,,,,,,,,,,
2002.01,울산,1.24,,,,,,,,,,,,,
2002.01,인천,1.19,,,,,,,,,,,,,
2002.01,전남,1.39,,,,,,,,,,,,,
2002.01,전북,1.27,,,,,,,,,,,,,
2002.01,제주,1.39,,,,,,,,,,,,,
2002.01,충남,1.36,,,,,,,,,,,,,
2002.01,충북,1.29,,,,,,,,,,,,,
2002.02,강원,1.31,,,,,,,,,,,,,
2002.02,경기,1.31,,,,,,,,,,,,,
2002.02,경남,1.27,,,,,,,,,,,,,
2002.02,경북,1.23,,,,,,,,,,,,,
2002.02,광주,1.27,,,,,,,,,,,,,
2002.02,대구,1.08,,,,,,,,,,,,,
2002.02,대전,1.21,,,,,,,,,,,,,
2002.02,부산,0.98,,,,,,,,,,,,,
2002.02,서울,1.01,,,,,,,,,,,,,
2002.02,세종,0.00,,,,,,,,,,,,,
2002.02,울산,1.25,,,,,,,,,,,,,
2002.02,인천,1.19,,,,,,,,,,,,,
2002.02,전남,1.39,,,,,,,,,,,,,
2002.02,전북,1.27,,,,,,,,,,,,,
2002.02,제주,1.40,,,,,,,,,,,,,
2002.02,충남,1.36,,,,,,,,,,,,,
2002.02,충북,1.29,,,,,,,,,,,,,
2002.03,강원,1.31,,,,,,,,,,,,,
2002.03,경기,1.31,,,,,,,,,,,,,
2002.03,경남,1.27,,,,,,,,,,,,,
2002.03,경북,1.24,,,,,,,,,,,,,
2002.03,광주,1.27,,,,,,,,,,,,,
2002.03,대구,1.08,,,,,,,,,,,,,
2002.03,대전,1.21,,,,,,,,,,,,,
2002.03,부산,0.98,,,,,,,,,,,,,
2002.03,서울,1.01,,,,,,,,,,,,,
2002.03,세종,0.00,,,,,,,,,,,,,
2002.03,울산,1.25,,,,,,,,,,,,,
2002.03,인천,1.19,,,,,,,,,,,,,
2002.03,전남,1.39,,,,,,,,,,,,,
2002.03,전북,1.27,,,,,,,,,,,,,
2002.03,제주,1.40,,,,,,,,,,,,,
2002.03,충남,1.36,,,,,,,,,,,,,
2002.03,충북,1.29,,,,,,,,,,,,,
2002.04,강원,1.31,,,,,,,,,,,,,
2002.04,경기,1.31,,,,,,,,,,,,,
2002.04,경남,1.28,,,,,,,,,,,,,
2002.04,경북,1.24,,,,,,,,,,,,,
2002.04,광주,1.27,,,,,,,,,,,,,
2002.04,대구,1.09,,,,,,,,,,,,,
2002.04,대전,1.21,,,,,,,,,,,,,
2002.04,부산,0.98,,,,,,,,,,,,,
2002.04,서울,1.01,,,,,,,,,,,,,
2002.04,세종,0.00,,,,,,,,,,,,,
2002.04,울산,1.25,,,,,,,,,,,,,
2002.04,인천,1.19,,,,,,,,,,,,,
2002.04,전남,1.39,,,,,,,,,,,,,
2002.04,전북,1.27,,,,,,,,,,,,,
2002.04,제주,1.40,,,,,,,,,,,,,
2002.04,충남,1.36,,,,,,,,,,,,,
2002.04,충북,1.29,,,,,,,,,,,,,
2002.05,강원,1.30,,,,,,,,,,,,,
2002.05,경기,1.31,,,,,,,,,,,,,
2002.05,경남,1.28,,,,,,,,,,,,,
2002.05,경북,1.24,,,,,,,,,,,,,
2002.05,광주,1.27,,,,,,,,,,,,,
2002.05,대구,1.09,,,,,,,,,,,,,
2002.05,대전,1.21,,,,,,,,,,,,,
2002.05,부산,0.98,,,,,,,,,,,,,
2002.05,서울,1.01,,,,,,,,,,,,,
2002.05,세종,0.00,,,,,,,,,,,,,
2002.05,울산,1.25,,,,,,,,,,,,,
2002.05,인천,1.19,,,,,,,,,,,,,
2002.05,전남,1.39,,,,,,,,,,,,,
2002.05,전북,1.27,,,,,,,,,,,,,
2002.05,제주,1.41,,,,,,,,,,,,,
