시점,지역별,총인구수,출생아수,합계출산율,유치원,초등학교,중학교,고등학교,사설학원수,사교육참여율,매우효과있음,약간효과있음,효과보통,별로효과없음,전혀효과없음,효과모름,매우만족,약간만족,만족보통,약간불만,매우불만
2012,경기도,,124746,1.355,22.09,27.04,34.6,34.32,18530.0,70.9,5.6,26.7,38.0,19.5,6.0,4.2,11.0,36.0,46.5,6.0,0.5
2012,경상남도,,33211,1.503,21.84,23.3,31.07,31.82,5916.0,68.6,10.0,24.6,36.3,19.2,4.6,5.4,11.6,43.1,37.5,6.3,1.4
2012,경상북도,,24635,1.489,19.43,21.81,29.07,29.58,3696.0,67.6,6.1,32.9,37.6,16.1,3.3,3.9,12.1,35.3,50.2,1.9,0.5
2012,광주광역시,,14392,1.295,21.1,25.25,34.41,35.57,2038.0,70.8,7.1,26.2,40.6,18.2,5.0,3.0,12.0,35.9,48.7,2.3,1.1
2012,대구광역시,,21472,1.217,24.37,24.63,34.14,34.21,3542.0,75.4,6.3,29.1,40.0,18.2,3.8,2.6,7.1,37.3,47.3,8.0,0.2
2012,대전광역시,,15279,1.315,21.03,24.75,32.8,34.01,2167.0,73.4,6.7,24.4,36.4,19.4,5.8,7.5,10.8,35.6,44.4,8.4,0.8
2012,부산광역시,,28673,1.135,25.15,23.73,31.66,31.06,4859.0,68.7,5.6,31.8,37.7,17.9,4.2,2.9,7.6,40.8,45.1,4.2,2.4
2012,서울,,93914,1.059,24.18,25.55,32.01,32.77,13688.0,73.5,7.3,26.9,41.2,17.4,4.6,2.6,10.1,38.9,41.9,7.0,2.0
2012,세종특별자치시,,1054,1.597,,,,,90.0,,,,,,,,,,,,
2012,울산광역시,,12160,1.481,23.16,24.94,31.77,34.84,2535.0,70.9,3.8,24.2,43.2,20.7,4.2,3.9,6.1,29.6,55.8,7.0,1.5
2012,인천광역시,,27781,1.301,23.04,24.47,34.62,31.62,3338.0,66.6,6.9,25.0,40.3,17.5,4.8,5.6,10.4,32.1,50.3,5.1,2.1
2012,전라남도,,16990,1.642,16.35,19.75,29.49,28.48,2845.0,62.1,11.1,33.4,33.8,12.4,3.2,6.1,16.1,28.1,51.7,3.7,0.4
2012,전북특별자치도,,16238,1.440,15.96,21.32,30.4,30.06,4005.0,62.0,12.4,32.3,35.4,14.8,2.1,3.0,7.8,30.6,51.4,8.9,1.3
2012,제주특별자치도,,5992,1.598,20.9,23.98,33.74,34.79,980.0,66.5,10.4,26.1,40.1,15.7,3.4,4.3,12.8,37.7,46.1,3.0,0.5
2012,충청남도,,20448,1.571,19.88,21.69,30.76,31.28,2738.0,61.2,11.1,27.6,34.0,17.1,5.2,5.1,11.8,31.4,47.2,9.3,0.4
2012,충청북도,,15139,1.485,19.23,22.27,30.58,32.57,2393.0,63.9,9.9,26.2,36.7,15.3,5.4,6.5,11.0,32.1,44.5,10.0,2.3
2013,강원특별자치도,,10980,1.249서울,18.59,19.08,29.5,29.34,2326.0,61.9,,,,,,,,,,,
2013,경기도,,112129,1.226,22.05,25.88,33.86,33.39,18134.0,72.0,,,,,,,,,,,
2013,경상남도,,29504,1.367,22.01,22.01,30.61,31.21,5662.0,67.3,,,,,,,,,,,
2013,경상북도,,22206,1.379,19.43,21.12,28.66,29.27,3594.0,64.3,,,,,,,,,,,
2013,광주광역시,,12729,1.170,20.78,24.0,33.64,35.44,3368.0,69.8,,,,,,,,,,,
2013,대구광역시,,19340,1.127,23.49,22.83,32.71,33.6,3639.0,71.9,,,,,,,,,,,
2013,대전광역시,,14099,1.234,21.03,23.42,32.27,33.68,2159.0,72.7,,,,,,,,,,,
2013,부산광역시,,25831,1.049,24.35,22.76,30.97,30.16,4638.0,67.3,,,,,,,,,,,
2013,서울,,84066,0.968,24.13,24.51,31.39,31.87,13405.0,75.0,,,,,,,,,,,
2013,세종특별자치시,,1111,1.435,18.64,21.16,26.37,28.0,108.0,,,,,,,,,,,,
2013,울산광역시,,11330,1.391,23.53,23.87,30.88,33.97,2303.0,67.3,,,,,,,,,,,
2013,인천광역시,,25560,1.195,22.73,23.51,33.68,31.01,3198.0,65.3,,,,,,,,,,,
2013,전라남도,,15401,1.518,15.88,19.03,29.05,28.45,2787.0,59.0,,,,,,,,,,,
2013,전북특별자치도,,14555,1.320,16.25,19.93,30.26,29.79,3933.0,59.9,,,,,,,,,,,
2013,제주특별자치도,,5328,1.427,21.7,22.76,32.77,34.37,978.0,64.4,,,,,,,,,,,
2013,충청남도,,18628,1.442,19.72,21.01,30.46,31.16,2684.0,60.7,,,,,,,,,,,
2013,충청북도,,13658,1.365,18.5,21.31,30.0,32.27,2365.0,62.5,,,,,,,,,,,
2014,강원특별자치도,,10662,1.248,17.78,18.62,28.32,29.38,2253.0,60.9,7.2,29.4,36.6,17.1,4.2,5.5,13.6,33.1,45.8,4.5,3.0
2014,경기도,,112169,1.241,19.94,25.19,32.07,31.97,18074.0,72.8,6.2,28.3,38.7,17.6,5.2,4.0,14.5,35.9,40.5,8.3,0.9
2014,경상남도,,29763,1.409,21.27,21.69,30.07,30.34,5885.0,67.1,7.1,30.7,37.6,17.4,4.4,2.8,17.7,35.6,43.0,3.2,0.5
2014,경상북도,,22062,1.408,18.12,20.74,27.79,28.5,3842.0,64.5,9.1,29.3,41.2,14.5,2.4,3.4,11.7,37.1,47.7,3.0,0.4
2014,광주광역시,,12729,1.199,17.67,23.35,32.38,34.67,3497.0,68.7,7.1,27.9,38.4,17.7,5.0,3.9,6.2,34.4,53.3,5.0,1.1
2014,대구광역시,,19361,1.169,20.45,22.26,31.18,32.12,3651.0,70.3,6.0,25.7,43.9,16.4,3.8,4.2,9.7,35.5,48.4,5.3,1.2
2014,대전광역시,,13962,1.250,19.06,23.12,31.45,32.68,2086.0,70.5,10.5,32.1,34.5,17.3,3.7,1.8,16.2,37.6,39.1,6.5,0.6
2014,부산광역시,,26190,1.090,21.81,22.04,29.83,28.87,4529.0,65.8,11.7,29.5,34.7,15.0,4.6,4.5,12.0,41.8,39.3,6.6,0.3
2014,서울,,83711,0.983,21.87,24.27,30.2,30.94,13671.0,74.4,7.7,26.6,38.3,17.3,4.8,5.3,13.7,37.6,43.4,4.1,1.2
2014,세종특별자치시,,1344,1.354,15.88,20.04,23.09,24.97,101.0,66.3,,,,,,,,,,,
2014,울산광역시,,11556,1.437,22.47,22.82,29.82,32.61,2351.0,67.6,4.9,23.1,45.3,19.0,4.4,3.4,9.3,38.4,48.5,3.3,0.5
2014,인천광역시,,25786,1.212,20.24,23.2,32.47,30.12,3167.0,65.9,7.2,26.9,39.9,16.2,5.5,4.2,17.3,36.4,40.7,5.0,0.7
2014,전라남도,,14817,1.497,15.2,18.78,27.9,27.72,2853.0,58.5,8.3,30.0,38.5,15.0,3.1,5.2,7.8,33.6,50.5,6.1,2.1
2014,전북특별자치도,,14231,1.329,16.0,19.72,29.71,29.34,3989.0,59.4,9.9,32.6,35.8,15.1,3.1,3.4,7.4,33.3,53.9,4.2,1.2
2014,제주특별자치도,,5526,1.481,21.1,22.13,31.9,33.32,999.0,63.3,10.3,31.7,36.4,14.1,2.8,4.7,24.1,38.1,34.1,2.9,0.7
2014,충청남도,,18200,1.421,19.08,20.63,29.33,30.64,2732.0,61.1,9.6,26.3,34.0,18.6,4.8,6.7,11.5,36.5,48.4,3.0,0.7
2014,충청북도,,13366,1.363,17.88,20.77,28.98,31.51,2350.0,60.7,8.6,27.3,37.4,15.0,4.2,7.4,13.1,36.9,42.8,6.2,1.0
2015,강원특별자치도,1518040.0,10929,1.311,18.46,18.06,26.62,28.86,2185.0,62.2,,,,,,,,,,,
