시점,사교육참여율,지역별
2019.12,67.650,광주
2020.01,67.100,광주
2020.02,67.642,광주
2020.03,68.183,광주
2020.04,68.725,광주
2020.05,69.267,광주
2020.06,69.808,광주
2020.07,70.350,광주
2020.08,70.892,광주
2020.09,71.433,광주
2020.10,71.975,광주
2020.11,72.517,광주
2020.12,73.058,광주
2021.01,73.600,광주
2021.02,73.708,광주
2021.03,73.817,광주
2021.04,73.925,광주
2021.05,74.033,광주
2021.06,74.142,광주
2021.07,74.250,광주
2021.08,74.358,광주
2021.09,74.467,광주
2021.10,74.575,광주
2021.11,74.683,광주
2021.12,74.792,광주
2022.01,74.900,광주
2022.02,75.017,광주
2022.03,75.133,광주
2022.04,75.250,광주
2022.05,75.367,광주
2022.06,75.483,광주
2022.07,75.600,광주
2022.08,75.717,광주
2022.09,75.833,광주
2022.10,75.950,광주
2022.11,76.067,광주
2022.12,76.183,광주
2023.01,76.300,광주
2009.01,77.500,대구
2009.02,77.492,대구
2009.03,77.483,대구
2009.04,77.475,대구
2009.05,77.467,대구
2009.06,77.458,대구
2009.07,77.450,대구
2009.08,77.442,대구
2009.09,77.433,대구
2009.10,77.425,대구
2009.11,77.417,대구
2009.12,77.408,대구
2010.01,77.400,대구
2010.02,77.150,대구
2010.03,76.900,대구
2010.04,76.650,대구
2010.05,76.400,대구
2010.06,76.150,대구
2010.07,75.900,대구
2010.08,75.650,대구
2010.09,75.400,대구
2010.10,75.150,대구
2010.11,74.900,대구
2010.12,74.650,대구
2011.01,74.400,대구
2011.02,74.483,대구
2011.03,74.567,대구
2011.04,74.650,대구
2011.05,74.733,대구
2011.06,74.817,대구
2011.07,74.900,대구
2011.08,74.983,대구
2011.09,75.067,대구
2011.10,75.150,대구
2011.11,75.233,대구
2011.12,75.317,대구
2012.01,75.400,대구
2012.02,75.108,대구
2012.03,74.817,대구
2012.04,74.525,대구
2012.05,74.233,대구
2012.06,73.942,대구
2012.07,73.650,대구
2012.08,73.358,대구
2012.09,73.067,대구
2012.10,72.775,대구
2012.11,72.483,대구
2012.12,72.192,대구
2013.01,71.900,대구
2013.02,71.767,대구
2013.03,71.633,대구
2013.04,71.500,대구
2013.05,71.367,대구
2013.06,71.233,대구
2013.07,71.100,대구
2013.08,70.967,대구
2013.09,70.833,대구
2013.10,70.700,대구
2013.11,70.567,대구
2013.12,70.433,대구
2014.01,70.300,대구
2014.02,70.383,대구
2014.03,70.467,대구
