시점,사설학원수,지역별
2019.06,2180.750,강원
2019.07,2180.500,강원
2019.08,2180.250,강원
2019.09,2180.000,강원
2019.10,2179.750,강원
2019.11,2179.500,강원
2019.12,2179.250,강원
2020.01,2179.000,강원
2020.02,2179.750,강원
2020.03,2180.500,강원
2020.04,2181.250,강원
2020.05,2182.000,강원
2020.06,2182.750,강원
2020.07,2183.500,강원
2020.08,2184.250,강원
2020.09,2185.000,강원
2020.10,2185.750,강원
2020.11,2186.500,강원
2020.12,2187.250,강원
2021.01,2188.000,강원
2021.02,2194.333,강원
2021.03,2200.667,강원
2021.04,2207.000,강원
2021.05,2213.333,강원
2021.06,2219.667,강원
2021.07,2226.000,강원
2021.08,2232.333,강원
2021.09,2238.667,강원
2021.10,2245.000,강원
2021.11,2251.333,강원
2021.12,2257.667,강원
2022.01,2264.000,강원
2022.02,2267.083,강원
2022.03,2270.167,강원
2022.04,2273.250,강원
2022.05,2276.333,강원
2022.06,2279.417,강원
2022.07,2282.500,강원
2022.08,2285.583,강원
2022.09,2288.667,강원
2022.10,2291.750,강원
2022.11,2294.833,강원
2022.12,2297.917,강원
2023.01,2301.000,강원
2003.01,13837.000,경기
2003.02,13834.417,경기
2003.03,13831.833,경기
2003.04,13829.250,경기
2003.05,13826.667,경기
2003.06,13824.083,경기
2003.07,13821.500,경기
2003.08,13818.917,경기
2003.09,13816.333,경기
2003.10,13813.750,경기
2003.11,13811.167,경기
2003.12,13808.583,경기
2004.01,13806.000,경기
2004.02,13869.583,경기
2004.03,13933.167,경기
2004.04,13996.750,경기
2004.05,14060.333,경기
2004.06,14123.917,경기
2004.07,14187.500,경기
2004.08,14251.083,경기
2004.09,14314.667,경기
2004.10,14378.250,경기
2004.11,14441.833,경기
2004.12,14505.417,경기
2005.01,14569.000,경기
2005.02,14649.000,경기
2005.03,14729.000,경기
2005.04,14809.000,경기
2005.05,14889.000,경기
2005.06,14969.000,경기
2005.07,15049.000,경기
2005.08,15129.000,경기
2005.09,15209.000,경기
2005.10,15289.000,경기
2005.11,15369.000,경기
2005.12,15449.000,경기
2006.01,15529.000,경기
2006.02,15534.167,경기
2006.03,15539.333,경기
2006.04,15544.500,경기
2006.05,15549.667,경기
2006.06,15554.833,경기
2006.07,15560.000,경기
2006.08,15565.167,경기
2006.09,15570.333,경기
2006.10,15575.500,경기
2006.11,15580.667,경기
2006.12,15585.833,경기
2007.01,15591.000,경기
2007.02,15672.250,경기
